id,xxx,gene
1,XXX,A_100 100
10,XXX,B_91 91
100,XXX,H_44 44
1000,XXX,D_72 72
10000,XXX,P_25 25
100000,XXX,AD_19 19
1000000,XXX,AV_12 12
10000000,XXX,EF_7 7
100000000,XXX,BV_11 11
1000000000,XXX,CZ_9 9
10000000000,XXX,FB_5 5
100000000000,XXX,FR_4 4
1000000000000,XXX,GI_2 2
10000000000000,XXX,GO_1 1
10000000001,XXX,EG_2 2
100000000010,XXX,FE_1 1
10000000002,XXX,FC_2 2
100000000020,XXX,FT_1 1
100000000021,XXX,FU_1 1
10000001,XXX,DA_2 2
100000010,XXX,EI_1 1
10000002,XXX,BW_1 1
1000001,XXX,AW_7 7
10000010,XXX,BX_6 6
100000100,XXX,EJ_3 3
1000001000,XXX,DB_5 5
10000010000,XXX,FF_2 2
100000100000,XXX,FW_1 1
10000011,XXX,BY_1 1
100001,XXX,AE_6 6
1000010,XXX,AX_4 4
10000100,XXX,BZ_2 2
100001000,XXX,DD_1 1
100001001,XXX,DE_1 1
10001,XXX,AF_17 17
100010,XXX,Q_19 19
1000100,XXX,DH_7 7
10001000,XXX,AZ_14 14
100010000,XXX,CD_11 11
1000100000,XXX,EL_6 6
10001000000,XXX,FX_3 3
100010000000,XXX,FJ_4 4
1000100000000,XXX,GJ_2 2
10001000000000,XXX,GQ_1 1
10001000001,XXX,FK_2 2
100010000010,XXX,FZ_1 1
1000100001,XXX,DI_4 4
10001000010,XXX,EO_1 1
1000101,XXX,BA_3 3
10001010,XXX,CF_2 2
100010100,XXX,DL_1 1
101,XXX,I_28 28
1010,XXX,R_14 14
10100,XXX,BD_9 9
101000,XXX,AH_10 10
1010000,XXX,CH_8 8
10100000,XXX,DN_6 6
101000000,XXX,ES_2 2
1010000000,XXX,FP_1 1
10101,XXX,AI_4 4
101010,XXX,BF_3 3
1010100,XXX,CJ_2 2
10101000,XXX,DQ_1 1
101011,XXX,BG_1 1
1011,XXX,S_14 14
10110,XXX,AJ_9 9
101100,XXX,BH_6 6
1011000,XXX,CM_2 2
10110000,XXX,DT_1 1
101101,XXX,BI_3 3
1011010,XXX,CN_2 2
10110100,XXX,DV_1 1
102,XXX,E_19 19
1020,XXX,T_9 9
10200,XXX,J_15 15
102000,XXX,AL_7 7
1020000,XXX,BL_4 4
10200000,XXX,CT_3 3
102000000,XXX,DZ_2 2
1020000000,XXX,FA_1 1
1020001,XXX,BM_3 3
10200010,XXX,CV_2 2
102000100,XXX,EB_1 1
102000101,XXX,EC_1 1
10200011,XXX,CW_1 1
102001,XXX,AM_2 2
1020010,XXX,BO_1 1
1021,XXX,U_6 6
10210,XXX,AN_4 4
102100,XXX,BQ_1 1
10211,XXX,AO_2 2
102110,XXX,BR_1 1
1022,XXX,K_4 4
10220,XXX,V_3 3
102200,XXX,AP_2 2
1022000,XXX,BT_1 1
102201,XXX,AQ_1 1
11,XXX,C_9 9
110,XXX,F_5 5
1100,XXX,L_3 3
11000,XXX,X_2 2
110000,XXX,AR_1 1
1101,XXX,M_2 2
11010,XXX,AA_1 1
