id,xxx,gene
1,XXX,A_100 100
10,XXX,B_91 91
100,XXX,D_72 72
1000,XXX,H_44 44
10000,XXX,P_25 25
100000,XXX,AD_19 19
1000000,XXX,AW_7 7
10000000,XXX,BX_6 6
100000000,XXX,DC_1 1
10000001,XXX,BY_1 1
1000001,XXX,FS_1 1
10000010,XXX,EF_7 7
100000100,XXX,FB_5 5
1000001000,XXX,CZ_9 9
10000010000,XXX,BV_11 11
100000100000,XXX,AV_12 12
100001,XXX,AE_6 6
1000010,XXX,AX_4 4
10000100,XXX,BZ_2 2
100001000,XXX,DD_1 1
10000101,XXX,DF_1 1
100001010,XXX,CA_2 2
10001,XXX,AF_17 17
100010,XXX,AZ_14 14
1000100,XXX,Q_19 19
10001000,XXX,CD_11 11
100010000,XXX,EL_6 6
1000100000,XXX,DH_7 7
10001000000,XXX,FZ_1 1
100010000000,XXX,FK_2 2
10001000001,XXX,GP_1 1
100010000010,XXX,GJ_2 2
1000100000100,XXX,FJ_4 4
10001000001000,XXX,FX_3 3
100010001,XXX,EN_3 3
1000100010,XXX,DI_4 4
10001000100,XXX,GB_1 1
100010001000,XXX,FL_2 2
10001001,XXX,CE_3 3
100010010,XXX,EP_1 1
1000100100,XXX,DJ_2 2
1001,XXX,I_28 28
10010,XXX,R_14 14
100100,XXX,BD_9 9
1001000,XXX,AH_10 10
10010000,XXX,CI_1 1
10010001,XXX,FQ_1 1
100100010,XXX,CH_8 8
1001000100,XXX,ES_2 2
10010001000,XXX,DN_6 6
100101,XXX,AI_4 4
1001010,XXX,BF_3 3
10010100,XXX,CJ_2 2
100101000,XXX,DP_1 1
100101001,XXX,DQ_1 1
10011,XXX,AJ_9 9
100110,XXX,S_14 14
1001100,XXX,CL_4 4
10011000,XXX,BH_6 6
100110000,XXX,DR_2 2
1001100000,XXX,EV_1 1
1001100001,XXX,EW_1 1
100110001,XXX,DS_2 2
1001100010,XXX,EX_1 1
1001101,XXX,DV_1 1
10011010,XXX,CN_2 2
100110100,XXX,BI_3 3
101,XXX,J_15 15
1010,XXX,E_19 19
10100,XXX,AL_7 7
101000,XXX,T_9 9
1010000,XXX,BL_4 4
10100000,XXX,CT_3 3
101000000,XXX,EZ_1 1
1010000000,XXX,DZ_2 2
1010001,XXX,CW_1 1
10100010,XXX,BM_3 3
10101,XXX,AN_4 4
101010,XXX,U_6 6
1010100,XXX,ED_1 1
10101000,XXX,CX_2 2
101010000,XXX,BP_3 3
