id,xxx,gene
1,XXX,mut1_80
10,XXX,mut37_13
100,XXX,mut15_68
1000,XXX,mut25_18
10000,XXX,mut6_12
100000,XXX,mut18_6
1000000,XXX,mut46_36
10000000,XXX,mut39_9
100000000,XXX,mut4_6
1000000000,XXX,mut45_6
10000000000,XXX,mut9_18
100000000000,XXX,mut35_82
1000000000000,XXX,mut34_18
10000000000000,XXX,mut16_18
100000000000000,XXX,mut26_71
1000000000000000,XXX,mut5_18
10001,XXX,mut2_82
100010,XXX,mut13_82
1000100,XXX,mut41_13
10001000,XXX,mut36_100
100010000,XXX,mut8_82
1000100000,XXX,mut30_25
10001000000,XXX,mut17_11
100010000000,XXX,mut44_12
1000100000000,XXX,mut14_2
10001000000000,XXX,mut20_16
100010000000000,XXX,mut23_7
1000100000001,XXX,mut31_16
10001000000010,XXX,mut40_46
100010000000100,XXX,Mut9_0
1000100000001000,XXX,mut22_2
10001000000010000,XXX,mut12_0
100010000000100000,XXX,mut43_11
10001000000010001,XXX,mut33_9
100010000000100010,XXX,mut11_6
1000100001,XXX,mut10_42
10001000010,XXX,mut27_15
100010000100,XXX,mut28_7
100010000101,XXX,mut21_9
1000100001010,XXX,mut32_6
100010000102,XXX,mut47_13
1000100001020,XXX,mut48_0
10001000010200,XXX,mut3_13
100010000102000,XXX,mut38_18
1000100001021,XXX,mut7_55
10001000010210,XXX,mut24_88
100010000102100,XXX,mut29_11
