id,xxx,gene
1,XXX,D_72 72
10,XXX,A_100 100
100,XXX,B_91 91
1000,XXX,H_44 44
10000,XXX,P_25 25
100000,XXX,AD_19 19
1000000,XXX,AV_12 12
10000000,XXX,BV_11 11
100000000,XXX,CZ_9 9
1000000000,XXX,FB_5 5
10000000000,XXX,FR_4 4
100000000000,XXX,GI_2 2
1000000000000,XXX,GO_1 1
1000000001,XXX,EG_2 2
10000000010,XXX,FE_1 1
1000000002,XXX,FC_2 2
10000000020,XXX,EF_7 7
100000000200,XXX,FT_1 1
100000000201,XXX,FU_1 1
100000001,XXX,DA_2 2
1000000010,XXX,EI_1 1
10000001,XXX,BW_1 1
1000001,XXX,AW_7 7
10000010,XXX,BX_6 6
100000100,XXX,DB_5 5
1000001000,XXX,EJ_3 3
10000010000,XXX,FF_2 2
100000100000,XXX,FW_1 1
10000011,XXX,BY_1 1
100001,XXX,AE_6 6
1000010,XXX,BZ_2 2
10000100,XXX,AX_4 4
100001000,XXX,DD_1 1
100001001,XXX,DE_1 1
10001,XXX,AZ_14 14
100010,XXX,Q_19 19
1000100,XXX,AF_17 17
10001000,XXX,DH_7 7
100010000,XXX,EL_6 6
1000100000,XXX,CD_11 11
10001000000,XXX,FJ_4 4
100010000000,XXX,FX_3 3
1000100000000,XXX,GJ_2 2
10001000000000,XXX,GQ_1 1
10001000001,XXX,FK_2 2
100010000010,XXX,FZ_1 1
10001001,XXX,DI_4 4
100010010,XXX,EO_1 1
10001002,XXX,BA_3 3
100010020,XXX,CF_2 2
1000100200,XXX,DL_1 1
1001,XXX,I_28 28
10010,XXX,R_14 14
100100,XXX,AH_10 10
1001000,XXX,BD_9 9
10010000,XXX,DN_6 6
100100000,XXX,CH_8 8
1001000000,XXX,ES_2 2
10010000000,XXX,FP_1 1
100101,XXX,AI_4 4
1001010,XXX,BF_3 3
10010100,XXX,CJ_2 2
100101000,XXX,DQ_1 1
1001011,XXX,BG_1 1
10011,XXX,S_14 14
100110,XXX,AJ_9 9
1001100,XXX,BH_6 6
10011000,XXX,CM_2 2
100110000,XXX,DT_1 1
1001101,XXX,BI_3 3
10011010,XXX,CN_2 2
100110100,XXX,DV_1 1
1002,XXX,E_19 19
10020,XXX,J_15 15
100200,XXX,AL_7 7
1002000,XXX,BM_3 3
10020000,XXX,T_9 9
100200000,XXX,CV_2 2
1002000000,XXX,EB_1 1
1002000001,XXX,EC_1 1
100200001,XXX,CW_1 1
1002001,XXX,CT_3 3
10020010,XXX,BL_4 4
100200100,XXX,DZ_2 2
1002001000,XXX,FA_1 1
100201,XXX,U_6 6
1002010,XXX,AN_4 4
10020100,XXX,BQ_1 1
1002011,XXX,AO_2 2
10020110,XXX,BR_1 1
100202,XXX,AM_2 2
1002020,XXX,BO_1 1
10021,XXX,K_4 4
100210,XXX,V_3 3
1002100,XXX,AP_2 2
10021000,XXX,BT_1 1
1002101,XXX,AQ_1 1
101,XXX,C_9 9
1010,XXX,F_5 5
10100,XXX,L_3 3
101000,XXX,X_2 2
1010000,XXX,AR_1 1
10101,XXX,M_2 2
101010,XXX,AA_1 1
