id,xxx,gene
1,XXX,A_100 100
10,XXX,B_91 91
100,XXX,D_72 72
1000,XXX,H_44 44
10000,XXX,P_25 25
100000,XXX,AD_19 19
1000000,XXX,AV_12 12
10000000,XXX,BV_11 11
100000000,XXX,CZ_9 9
1000000000,XXX,EF_7 7
10000000000,XXX,GO_1 1
1000000001,XXX,BR_1 1
10000000010,XXX,R_14 14
100000000100,XXX,EC_1 1
10000000011,XXX,EG_2 2
100000000110,XXX,AJ_9 9
1000001,XXX,AN_4 4
100001,XXX,AE_6 6
1000010,XXX,AX_4 4
10000100,XXX,DQ_1 1
1000011,XXX,FT_1 1
10000110,XXX,FX_3 3
10001,XXX,Q_19 19
100010,XXX,AF_17 17
1000100,XXX,AZ_14 14
10001000,XXX,S_14 14
100010000,XXX,FJ_4 4
1000100000,XXX,FA_1 1
100010001,XXX,BZ_2 2
1000100010,XXX,AH_10 10
1000100011,XXX,AW_7 7
10001000110,XXX,AA_1 1
100010001100,XXX,BH_6 6
10001001,XXX,CD_11 11
100010010,XXX,FK_2 2
10001002,XXX,FP_1 1
100010020,XXX,U_6 6
1000100200,XXX,AI_4 4
10001002000,XXX,F_5 5
100010021,XXX,DA_2 2
1000101,XXX,BX_6 6
10001010,XXX,AP_2 2
100010100,XXX,FR_4 4
100010101,XXX,CT_3 3
100010102,XXX,FC_2 2
1000101020,XXX,EJ_3 3
10001010200,XXX,BI_3 3
100010102000,XXX,DB_5 5
10001010201,XXX,CM_2 2
100010102010,XXX,X_2 2
100010103,XXX,FW_1 1
1000101030,XXX,L_3 3
10001010300,XXX,CV_2 2
100011,XXX,M_2 2
1000110,XXX,FZ_1 1
10001100,XXX,BQ_1 1
100012,XXX,DE_1 1
10002,XXX,FU_1 1
1001,XXX,I_28 28
10010,XXX,ES_2 2
101,XXX,E_19 19
1010,XXX,J_15 15
10100,XXX,T_9 9
101000,XXX,AL_7 7
1010000,XXX,BM_3 3
10100000,XXX,DH_7 7
10100001,XXX,DI_4 4
1010001,XXX,FF_2 2
10100010,XXX,GQ_1 1
1010002,XXX,FE_1 1
101001,XXX,BG_1 1
1011,XXX,V_3 3
10110,XXX,CH_8 8
101100,XXX,AM_2 2
1011000,XXX,EI_1 1
11,XXX,C_9 9
110,XXX,DZ_2 2
1100,XXX,AR_1 1
11000,XXX,GI_2 2
110000,XXX,DN_6 6
1100000,XXX,DL_1 1
11000000,XXX,CJ_2 2
110000000,XXX,CF_2 2
110000001,XXX,EO_1 1
12,XXX,EL_6 6
120,XXX,BT_1 1
1200,XXX,BL_4 4
12000,XXX,BY_1 1
12001,XXX,DT_1 1
120010,XXX,BW_1 1
1200100,XXX,CW_1 1
12001000,XXX,BF_3 3
12001001,XXX,DV_1 1
120010010,XXX,BD_9 9
120010011,XXX,CN_2 2
120010012,XXX,BO_1 1
1200100120,XXX,K_4 4
12001001200,XXX,GJ_2 2
1200100121,XXX,AQ_1 1
1200101,XXX,EB_1 1
120011,XXX,DD_1 1
1200110,XXX,FB_5 5
1200111,XXX,BA_3 3
12001110,XXX,AO_2 2
