id,xxx,gene
1,XXX,D_72 72
10,XXX,A_100 100
100,XXX,B_91 91
1000,XXX,H_44 44
10000,XXX,P_25 25
100000,XXX,BV_11 11
1000000,XXX,AV_12 12
10000000,XXX,AD_19 19
100000000,XXX,CZ_9 9
1000000000,XXX,FR_4 4
10000000000,XXX,EF_7 7
100000000000,XXX,FB_5 5
1000000000000,XXX,GI_2 2
10000000000000,XXX,GN_1 1
10000000000001,XXX,GO_1 1
1000000001,XXX,EG_2 2
10000000010,XXX,FD_1 1
100000001,XXX,DA_2 2
1000000010,XXX,EI_1 1
100000002,XXX,BW_1 1
100001,XXX,AW_7 7
1000010,XXX,BX_6 6
10000100,XXX,DB_5 5
100001000,XXX,EK_2 2
1000010000,XXX,FH_1 1
10000101,XXX,DC_1 1
100002,XXX,AE_6 6
1000020,XXX,BZ_2 2
10000200,XXX,AX_4 4
100002000,XXX,DD_1 1
100002001,XXX,DE_1 1
10001,XXX,AZ_14 14
100010,XXX,Q_19 19
1000100,XXX,AF_17 17
10001000,XXX,CD_11 11
100010000,XXX,DH_7 7
1000100000,XXX,FJ_4 4
10001000000,XXX,EL_6 6
100010000000,XXX,FX_3 3
1000100000000,XXX,GJ_2 2
10001000000000,XXX,GP_1 1
100010000001,XXX,FY_1 1
1000100001,XXX,EM_1 1
100010001,XXX,DI_4 4
1000100010,XXX,EN_3 3
10001000100,XXX,FL_2 2
100010001000,XXX,GB_1 1
100010001001,XXX,GC_1 1
10001000101,XXX,FM_1 1
10001001,XXX,CE_3 3
100010010,XXX,DJ_2 2
1000100100,XXX,EQ_1 1
100010011,XXX,DK_1 1
10002,XXX,AG_2 2
100020,XXX,BC_1 1
1001,XXX,I_28 28
10010,XXX,R_14 14
100100,XXX,AH_10 10
1001000,XXX,BD_9 9
10010000,XXX,CH_8 8
100100000,XXX,DN_6 6
1001000000,XXX,ER_4 4
10010000000,XXX,FN_2 2
100100000000,XXX,GD_1 1
100100001,XXX,DO_2 2
1001000010,XXX,EU_1 1
1001001,XXX,BE_1 1
100101,XXX,AI_4 4
1001010,XXX,BF_3 3
10010100,XXX,CK_1 1
1001011,XXX,BG_1 1
10011,XXX,S_14 14
100110,XXX,AJ_9 9
1001100,XXX,BH_6 6
10011000,XXX,CL_4 4
100110000,XXX,DR_2 2
1001100000,XXX,EW_1 1
1001101,XXX,BI_3 3
10011010,XXX,CN_2 2
100110100,XXX,DV_1 1
100110101,XXX,DW_1 1
10011011,XXX,CO_1 1
100111,XXX,AK_5 5
1001110,XXX,BK_2 2
10011100,XXX,CS_1 1
1002,XXX,E_19 19
10020,XXX,J_15 15
100200,XXX,T_9 9
1002000,XXX,AL_7 7
10020000,XXX,BL_4 4
100200000,XXX,CT_3 3
1002000000,XXX,DZ_2 2
10020000000,XXX,EZ_1 1
10020000001,XXX,FA_1 1
1002000001,XXX,EA_1 1
10020001,XXX,BM_3 3
100200010,XXX,CW_1 1
1002001,XXX,AM_2 2
10020010,XXX,BO_1 1
100201,XXX,AN_4 4
1002010,XXX,U_6 6
10020100,XXX,BP_3 3
100201000,XXX,CX_2 2
1002010000,XXX,EE_1 1
10020101,XXX,BQ_1 1
101,XXX,C_9 9
1010,XXX,F_5 5
10100,XXX,L_3 3
101000,XXX,X_2 2
1010000,XXX,AR_1 1
101001,XXX,Y_1 1
10101,XXX,M_2 2
101010,XXX,AA_1 1
1011,XXX,G_4 4
10110,XXX,N_3 3
101100,XXX,AB_2 2
1011000,XXX,AT_1 1
101101,XXX,AC_1 1
